Title,Raw_Price,Raw_Area,Raw_BHK,Locality,lat,lon
Premium 4 BHK in Greenwood Valley,"₹ 8,411,308 /- Only",2403 Sq-Ft,4 BHK,Greenwood Valley,12.983025347836897,77.758003430398
Premium 3 BHK in Riverside Estates,"₹ 5,861,494 /- Only",1634 Sq-Ft,3 BHK,Riverside Estates,13.020408603254191,77.53860417698691
Premium 2 BHK in Riverside Estates,"₹ 4,266,881 /- Only",1192 Sq-Ft,2 BHK,Riverside Estates,13.038825293637242,77.53225550389665
Premium 3 BHK in Riverside Estates,"₹ 6,987,306 /- Only",2115 Sq-Ft,3 BHK,Riverside Estates,13.02325917868725,77.53601288367308
Premium 2 BHK in Silicon Suburbs,"₹ 3,945,971 /- Only",1092 Sq-Ft,2 BHK,Silicon Suburbs,12.93965727065424,77.6386320386461
Premium 3 BHK in Downtown Core,"₹ 10,638,944 /- Only",2097 Sq-Ft,3 BHK,Downtown Core,12.975534879720772,77.59446142484137
Premium 1 BHK in Downtown Core,"₹ 3,712,342 /- Only",734 Sq-Ft,1 BHK,Downtown Core,12.964776962413312,77.58988136076151
Premium 3 BHK in Greenwood Valley,"₹ 6,724,026 /- Only",2017 Sq-Ft,3 BHK,Greenwood Valley,12.982896311221152,77.73947138456879
Premium 1 BHK in Riverside Estates,"₹ 2,122,925 /- Only",641 Sq-Ft,1 BHK,Riverside Estates,13.03296557879808,77.55211285197852
Premium 4 BHK in Riverside Estates,"₹ 9,273,211 /- Only",2791 Sq-Ft,4 BHK,Riverside Estates,13.01976909534679,77.55324477981598
Premium 3 BHK in Greenwood Valley,"₹ 7,501,717 /- Only",2218 Sq-Ft,3 BHK,Greenwood Valley,12.976482070002834,77.75162616016267
Premium 4 BHK in Riverside Estates,"₹ 7,883,448 /- Only",2276 Sq-Ft,4 BHK,Riverside Estates,13.034094625165649,77.54336621715183
Premium 4 BHK in Downtown Core,"₹ 15,061,115 /- Only",2991 Sq-Ft,4 BHK,Downtown Core,12.97115892744031,77.58976628925191
Premium 2 BHK in Greenwood Valley,"₹ 4,343,186 /- Only",1268 Sq-Ft,2 BHK,Greenwood Valley,12.981346836643063,77.75951389318662
Premium 2 BHK in Riverside Estates,"₹ 4,952,300 /- Only",1438 Sq-Ft,2 BHK,Riverside Estates,13.031491172268556,77.54129919798838
Premium 3 BHK in Silicon Suburbs,"₹ 6,182,825 /- Only",1819 Sq-Ft,3 BHK,Silicon Suburbs,12.93231812457552,77.62313150982187
Premium 2 BHK in Downtown Core,"₹ 6,674,545 /- Only",1295 Sq-Ft,2 BHK,Downtown Core,12.968667891700587,77.60314310219016
Premium 2 BHK in Silicon Suburbs,"₹ 3,978,581 /- Only",1156 Sq-Ft,2 BHK,Silicon Suburbs,12.916565419650796,77.62976120192239
Premium 2 BHK in Downtown Core,"₹ 5,858,164 /- Only",1116 Sq-Ft,2 BHK,Downtown Core,12.968985439056832,77.58461387071374
Premium 1 BHK in Riverside Estates,"₹ 2,458,847 /- Only",687 Sq-Ft,1 BHK,Riverside Estates,13.018588808775773,77.54617678508035
Premium 2 BHK in Riverside Estates,"₹ 4,422,128 /- Only",1329 Sq-Ft,2 BHK,Riverside Estates,13.033167422452747,77.54587092211213
Premium 3 BHK in Riverside Estates,"₹ 6,523,131 /- Only",1901 Sq-Ft,3 BHK,Riverside Estates,13.021556495188278,77.54372795521303
Premium 4 BHK in Downtown Core,"₹ 13,576,740 /- Only",2643 Sq-Ft,4 BHK,Downtown Core,12.963002821021218,77.59605659448029
Premium 4 BHK in Downtown Core,"₹ 14,468,296 /- Only",2872 Sq-Ft,4 BHK,Downtown Core,12.976265314384795,77.59167498443887
Premium 4 BHK in Greenwood Valley,"₹ 8,379,255 /- Only",2433 Sq-Ft,4 BHK,Greenwood Valley,12.983184832000266,77.76019247560025
Premium 1 BHK in Greenwood Valley,"₹ 2,131,401 /- Only",584 Sq-Ft,1 BHK,Greenwood Valley,12.976059423687973,77.7392153457702
Premium 1 BHK in Downtown Core,"₹ 3,828,771 /- Only",756 Sq-Ft,1 BHK,Downtown Core,12.97038178676979,77.59330656253532
Premium 3 BHK in Silicon Suburbs,"₹ 7,323,158 /- Only",2188 Sq-Ft,3 BHK,Silicon Suburbs,12.930161392491232,77.61835054107955
Premium 2 BHK in Riverside Estates,"₹ 4,097,871 /- Only",1187 Sq-Ft,2 BHK,Riverside Estates,13.039157102799248,77.54554307795665
Premium 4 BHK in Greenwood Valley,"₹ 8,944,639 /- Only",2641 Sq-Ft,4 BHK,Greenwood Valley,12.988727547013452,77.74292394291585
Premium 1 BHK in Downtown Core,"₹ 3,284,032 /- Only",608 Sq-Ft,1 BHK,Downtown Core,12.977382641957208,77.59744148492193
Premium 4 BHK in Downtown Core,"₹ 14,657,459 /- Only",2874 Sq-Ft,4 BHK,Downtown Core,12.9610430733075,77.60466656062059
Premium 2 BHK in Silicon Suburbs,"₹ 4,399,160 /- Only",1239 Sq-Ft,2 BHK,Silicon Suburbs,12.93477714691959,77.62724984426951
Premium 1 BHK in Greenwood Valley,"₹ 1,942,275 /- Only",532 Sq-Ft,1 BHK,Greenwood Valley,12.98152598483375,77.73920175337548
Premium 2 BHK in Greenwood Valley,"₹ 4,280,597 /- Only",1256 Sq-Ft,2 BHK,Greenwood Valley,12.985302816115828,77.75970098338736
Premium 4 BHK in Riverside Estates,"₹ 8,205,264 /- Only",2322 Sq-Ft,4 BHK,Riverside Estates,13.036684374243977,77.5397199225825
Premium 3 BHK in Downtown Core,"₹ 10,885,899 /- Only",2148 Sq-Ft,3 BHK,Downtown Core,12.963348919067014,77.59603411536641
Premium 4 BHK in Riverside Estates,"₹ 8,847,134 /- Only",2555 Sq-Ft,4 BHK,Riverside Estates,13.027006958525261,77.54397790580737
Premium 1 BHK in Silicon Suburbs,"₹ 1,936,354 /- Only",574 Sq-Ft,1 BHK,Silicon Suburbs,12.917504434640708,77.62303654561352
Premium 2 BHK in Downtown Core,"₹ 6,205,909 /- Only",1227 Sq-Ft,2 BHK,Downtown Core,12.970469375232922,77.6014265181156
Premium 4 BHK in Greenwood Valley,"₹ 9,883,695 /- Only",2948 Sq-Ft,4 BHK,Greenwood Valley,12.980080979482832,77.73913404846573
Premium 2 BHK in Silicon Suburbs,"₹ 4,167,029 /- Only",1244 Sq-Ft,2 BHK,Silicon Suburbs,12.929916898630685,77.63055799356306
Premium 2 BHK in Greenwood Valley,"₹ 4,462,567 /- Only",1329 Sq-Ft,2 BHK,Greenwood Valley,12.986000059737492,77.74073560770545
Premium 2 BHK in Downtown Core,"₹ 6,299,642 /- Only",1230 Sq-Ft,2 BHK,Downtown Core,12.974701804492707,77.58409521479926
Premium 2 BHK in Riverside Estates,"₹ 4,625,397 /- Only",1407 Sq-Ft,2 BHK,Riverside Estates,13.032713857574926,77.54858664857052
Premium 3 BHK in Greenwood Valley,"₹ 7,387,308 /- Only",2251 Sq-Ft,3 BHK,Greenwood Valley,12.970732760519198,77.73855555211145
Premium 2 BHK in Downtown Core,"₹ 7,320,587 /- Only",1449 Sq-Ft,2 BHK,Downtown Core,12.974996683226083,77.59305227981815
Premium 1 BHK in Greenwood Valley,"₹ 2,027,939 /- Only",548 Sq-Ft,1 BHK,Greenwood Valley,12.969716525797539,77.74947538011058
Premium 4 BHK in Riverside Estates,"₹ 9,769,574 /- Only",2876 Sq-Ft,4 BHK,Riverside Estates,13.040094112618737,77.53680066312359
Premium 2 BHK in Downtown Core,"₹ 7,020,576 /- Only",1354 Sq-Ft,2 BHK,Downtown Core,12.960317105059934,77.59165270159099
Premium 1 BHK in Riverside Estates,"₹ 1,825,097 /- Only",523 Sq-Ft,1 BHK,Riverside Estates,13.033073377392208,77.53713631139429
Premium 4 BHK in Greenwood Valley,"₹ 9,981,900 /- Only",2971 Sq-Ft,4 BHK,Greenwood Valley,12.988616279664118,77.74770703822121
Premium 1 BHK in Riverside Estates,"₹ 2,306,273 /- Only",676 Sq-Ft,1 BHK,Riverside Estates,13.036531732526312,77.53614411665741
Premium 3 BHK in Downtown Core,"₹ 9,437,228 /- Only",1807 Sq-Ft,3 BHK,Downtown Core,12.97045426504075,77.60565814800108
Premium 4 BHK in Greenwood Valley,"₹ 9,200,269 /- Only",2738 Sq-Ft,4 BHK,Greenwood Valley,12.979731340333263,77.74388449163416
Premium 1 BHK in Greenwood Valley,"₹ 2,181,103 /- Only",603 Sq-Ft,1 BHK,Greenwood Valley,12.982115619955273,77.74950601800768
Premium 1 BHK in Riverside Estates,"₹ 2,069,589 /- Only",598 Sq-Ft,1 BHK,Riverside Estates,13.039030288366908,77.5441084846015
Premium 1 BHK in Downtown Core,"₹ 3,537,945 /- Only",679 Sq-Ft,1 BHK,Downtown Core,12.959750766248504,77.59380693004202
Premium 4 BHK in Riverside Estates,"₹ 9,312,526 /- Only",2701 Sq-Ft,4 BHK,Riverside Estates,13.020288775137974,77.5351917645578
Premium 1 BHK in Silicon Suburbs,"₹ 2,365,357 /- Only",720 Sq-Ft,1 BHK,Silicon Suburbs,12.928048919392168,77.62152314036253
Premium 4 BHK in Greenwood Valley,"₹ 9,352,748 /- Only",2733 Sq-Ft,4 BHK,Greenwood Valley,12.989465764071204,77.74603950200138
Premium 3 BHK in Downtown Core,"₹ 9,129,634 /- Only",1757 Sq-Ft,3 BHK,Downtown Core,12.97707718806826,77.59891360367008
Premium 1 BHK in Greenwood Valley,"₹ 2,321,446 /- Only",730 Sq-Ft,1 BHK,Greenwood Valley,12.97022429909675,77.74701439471858
Premium 2 BHK in Riverside Estates,"₹ 4,249,343 /- Only",1200 Sq-Ft,2 BHK,Riverside Estates,13.020927351661314,77.53608225047832
Premium 4 BHK in Downtown Core,"₹ 11,961,085 /- Only",2326 Sq-Ft,4 BHK,Downtown Core,12.964701270942525,77.59756341444988
Premium 1 BHK in Downtown Core,"₹ 2,575,044 /- Only",509 Sq-Ft,1 BHK,Downtown Core,12.98042079847467,77.6005918676862
Premium 3 BHK in Greenwood Valley,"₹ 7,190,241 /- Only",2180 Sq-Ft,3 BHK,Greenwood Valley,12.98670607851887,77.75006124474132
Premium 2 BHK in Downtown Core,"₹ 6,413,348 /- Only",1270 Sq-Ft,2 BHK,Downtown Core,12.972199930666775,77.58505873016458
Premium 1 BHK in Silicon Suburbs,"₹ 2,423,003 /- Only",700 Sq-Ft,1 BHK,Silicon Suburbs,12.924918950511879,77.62698876913724
Premium 2 BHK in Silicon Suburbs,"₹ 3,984,408 /- Only",1133 Sq-Ft,2 BHK,Silicon Suburbs,12.923613246446171,77.63107353248083
